,uniprot,protein,iWAT_HF_cre-,iWAT_HF_cre+,iWAT_chow_cre-,iWAT_chow_cre+,eWAT_HF_cre-,eWAT_HF_cre+,eWAT_chow_cre-,eWAT_chow_cre+,ctrl_turbo(-),LPS_turbo(-),fast_turbo(-),ctrl_turbo(+),LPS_turbo(+),fast_turbo(+),description
1061,Q80WC7,Agfg2,1807.0,3291.0,989.5,1735.0,1058.75,3214.5,1182.5,2097.25,7024.0,5135.0,6567.0,6683.0,7261.0,6575.0,Agfg2 Arf-GAP domain and FG repeat-containing protein 2
1062,Q9WV32,Arpc1b,5201.25,14060.75,1909.5,7442.0,5119.75,25412.0,1278.5,9512.5,16300.75,12713.75,10560.75,22330.0,20157.5,14814.75,Arpc1b Actin-related protein 2/3 complex subunit 1B
1063,Q01339,Apoh,,,,,,,,,5331.0,6327.0,3554.5,4902.5,2099.0,1700.5,Apoh Beta-2-glycoprotein 1
1064,P14602,Hspb1,9275.25,12235.0,5783.25,7961.0,4874.25,10471.75,6319.75,10959.0,5384.25,7143.25,2599.0,4357.5,4992.5,6902.0,Hspb1 Heat shock protein beta-1
1065,J3QMX0,Rpp14,,,,,,,,,9907.0,9941.25,8221.5,10565.0,9357.0,8488.5,Rpp14 Ribonuclease P protein subunit p14
1066,P52479,Usp10,3645.75,6040.5,2243.75,3033.75,2006.75,4472.75,1577.5,2945.75,21366.0,27612.5,19433.5,24471.0,20920.0,19729.5,Usp10 Ubiquitin carboxyl-terminal hydrolase 10
1067,E9Q5K4,Cyp2c44,,,,,,,,,40804.0,34749.5,20453.5,21650.0,38882.0,22057.0,Cyp2c44 Protein Cyp2c44
1068,Q9D2G2,Dlst,3684.25,5719.25,2488.75,3650.5,2322.5,5153.25,1598.0,2623.5,6123.25,6475.75,7628.5,6544.5,6259.5,6748.75,"Dlst Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial"
1069,Q9Z0M5,Lipa,2285.0,23114.0,1829.5,18637.5,4733.0,35661.0,1428.0,23569.5,62739.0,51433.5,37074.0,18762.0,17045.0,12230.5,Lipa Lysosomal acid lipase/cholesteryl ester hydrolase
1070,Q91WS4,Bhmt2,,,,,,,,,13449.5,14864.5,14349.5,28707.0,19121.0,16357.0,Bhmt2 S-methylmethionine--homocysteine S-methyltransferase BHMT2
1071,P00405,Mtco2,3572.5,7995.0,2652.5,7591.5,2743.75,5528.0,4838.25,10914.25,15996.0,12022.0,17979.0,13720.0,14606.0,12484.0,Mtco2 Cytochrome c oxidase subunit 2
1072,P62852,Rps25,8035.0,11825.0,3421.75,5790.75,11821.25,18356.0,3465.5,10332.0,48879.75,48186.5,38212.75,44905.5,38108.5,46364.5,Rps25 40S ribosomal protein S25
1073,P61961,Ufm1,4173.5,9110.0,3591.5,7010.0,,,,,46828.5,49327.0,40800.5,60136.0,49358.0,50890.0,Ufm1 Ubiquitin-fold modifier 1
1074,P97298,Serpinf1,4777.25,17648.5,3924.5,6809.5,2710.25,12986.25,2162.25,5622.25,24321.5,21102.5,13837.5,14146.0,12104.0,9033.5,Serpinf1 Pigment epithelium-derived factor
1075,P27601,Gna13,16593.0,44380.5,10508.5,13778.75,9324.0,21631.0,4652.25,8573.0,9613.25,9334.0,7104.75,12822.0,7202.0,7830.0,Gna13 Guanine nucleotide-binding protein subunit alpha-13
1076,Q8VIK2,Mpv17l2,,,,,,,,,18488.0,17681.75,14000.75,20991.0,24126.0,16669.25,Mpv17l2 Mpv17-like protein 2
1077,E9PVA8,Gcn1,2560.75,7350.75,1024.0,4419.25,2409.5,8202.0,1701.5,3397.0,13566.5,12967.0,10930.0,18886.0,22152.0,14378.0,Gcn1 eIF-2-alpha kinase activator GCN1
1078,Q8BRK8,Prkaa2,1113.25,2963.5,,,0.0,2065.0,,,13746.5,11462.0,9098.5,12035.0,15185.0,9220.0,Prkaa2 5'-AMP-activated protein kinase catalytic subunit alpha-2
1079,P35486,Pdha1,2347.0,3555.25,2976.5,3653.5,2291.0,7796.5,2158.5,3835.25,22778.5,19080.0,14742.5,17991.5,16850.0,16324.25,"Pdha1 Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"
1080,O35486,Crygs,,,,,,,,,9732.5,11817.5,10561.0,7616.0,13657.0,8008.0,Crygs Beta-crystallin S
1081,Q9D104,Srp19,,,,,,,,,4369.75,2896.25,2662.0,4185.0,4184.5,3583.75,Srp19 Signal recognition particle 19 kDa protein
1082,P15116,Cdh2,1644.5,28434.75,2175.75,41457.0,1495.75,2852.0,,,25980.5,25801.5,21475.0,11590.0,5241.0,2948.5,Cdh2 Cadherin-2
1083,Q9D662,Sec23b,1767.5,2179.0,615.0,0.0,1232.5,2788.5,0.0,1906.0,7971.0,6644.5,3757.5,8282.0,6043.0,5207.0,Sec23b Protein transport protein Sec23B
1084,Q91VE0,Slc27a4,2042.25,5291.0,899.75,1959.5,2544.0,6230.0,2204.0,4512.0,9910.75,10164.75,6519.0,9586.0,12580.0,9141.0,Slc27a4 Long-chain fatty acid transport protein 4
1085,P50516,Atp6v1a,3227.75,10119.0,2994.5,8190.0,4122.5,12649.25,2520.5,6648.0,11801.75,10624.75,8117.5,12920.5,13043.5,10449.25,Atp6v1a V-type proton ATPase catalytic subunit A
1086,Q07076,Anxa7,6617.75,11500.0,5380.5,16018.5,6036.25,14844.25,5901.5,12370.75,7772.5,6826.75,6258.5,8792.0,8818.0,8344.25,Anxa7 Annexin A7
1087,Q8R0V5,Ido2,,,,,,,,,15212.0,13363.0,9800.75,12356.5,12953.0,9991.5,"Ido2 Indoleamine 2,3-dioxygenase 2"
1088,O09174,Amacr,,,,,,,,,59919.5,50753.0,34801.0,35945.0,46270.0,32426.0,Amacr Alpha-methylacyl-CoA racemase
