uniprot_id,description,pep_num,annotation,alb_turbo(+)_1,alb_turbo(+)_2,alb_turbo(+)_3,alb_turbo(-)_1,alb_turbo(-)_2,adip_turbo(+)_1,adip_turbo(+)_2,adip_turbo(+)_3,adip_turbo(-)_1,adip_turbo(-)_2,CD19_turbo(+)_1,CD19_turbo(+)_2,CD19_turbo(+)_3,CD19_turbo(+)_4,CD19_turbo(-)_1,CD19_turbo(-)_2
Q6PB93,Galnt2 Polypeptide N-acetylgalactosaminyltransferase 2,1,TP,7532.0,5164.0,7989.0,4504.0,2856.0,15116.0,29669.0,18003.0,3743.0,3184.0,1807.0,1374.0,3256.0,2260.0,0.0,0.0
Q80SY5,Prpf38b Pre-mRNA-splicing factor 38B,1,FP,33504.0,36729.0,46568.0,27797.0,29600.0,15845.0,44802.0,16692.0,29071.0,31844.0,39291.0,41935.0,45887.0,53499.0,49727.0,37965.0
O09039,Sh2b3 SH2B adapter protein 3,1,,28865.0,22061.0,30389.0,26630.0,20601.0,12620.0,14018.0,9672.0,10892.0,16388.0,2372.0,2624.0,2032.0,2349.0,2231.0,2045.0
P97379,G3bp2 Ras GTPase-activating protein-binding protein 2,1,,12658.0,10071.0,13438.0,10809.0,7668.0,2308.0,5411.0,2859.0,4821.0,4751.0,600.0,909.0,1255.0,989.0,0.0,0.0
Q8BGQ6,Efcab14 EF-hand calcium-binding domain-containing protein 14,1,,39514.0,25722.0,44629.0,20259.0,18839.0,145942.0,206518.0,137587.0,11855.0,15768.0,5940.0,7497.0,17669.0,11448.0,588.0,2370.0
Q8BKE6,Cyp20a1 Cytochrome P450 20A1,1,,81895.0,61921.0,95966.0,71292.0,36629.0,13734.0,12347.0,7004.0,11014.0,8032.0,2003.0,2749.0,5034.0,4023.0,0.0,1206.0
Q9D6I7,Fam69a Protein FAM69A,1,TP,3708.0,5385.0,6448.0,3138.0,5822.0,13694.0,20591.0,16210.0,2406.0,4250.0,3746.0,2036.0,7895.0,5833.0,837.0,1527.0
Q9EQC1,Hsd3b7 3 beta-hydroxysteroid dehydrogenase type 7,1,TP,79287.0,92776.0,86081.0,113610.0,50464.0,8215.0,11276.0,5049.0,6839.0,11100.0,154.0,3246.0,2555.0,1479.0,1525.0,3188.0
P70460,Vasp Vasodilator-stimulated phosphoprotein,1,,28334.0,25803.0,30330.0,24593.0,18616.0,63395.0,126168.0,95714.0,100116.0,194247.0,16385.0,88275.0,61709.0,45438.0,16130.0,34810.0
Q61646,Hp Haptoglobin,1,TP,62475.0,62785.0,74635.0,42013.0,32158.0,93911.0,205271.0,128551.0,17263.0,27851.0,3206.0,6870.0,5386.0,5441.0,3257.0,6475.0
