uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,ctrl_turbo(-)_1,ctrl_turbo(-)_2,fast_turbo(-)_1,fast_turbo(-)_2,LPS_turbo(-)_1,LPS_turbo(-)_2
P83093,Stim2 Stromal interaction molecule 2,3,TP,76582.0,89531.0,86537.0,31803.0,30489.0,44352.0,28874.0,23161.0,76378.0,61566.0,24447.0,33226.0,31190.0,22227.0,14182.0,18364.0
Q91Y47,F11 Coagulation factor XI,3,TP,91165.0,105451.0,162091.0,26169.0,30767.0,27682.0,52442.0,32574.0,121441.0,76658.0,51180.0,72198.0,26921.0,31041.0,28016.0,34527.0
D3YX87,Msto1 Protein misato homolog 1,2,,18009.0,20455.0,19097.0,15837.0,10172.0,19497.0,23130.0,17449.0,32292.0,29956.0,20401.0,26354.0,20371.0,16674.0,15401.0,18617.0
Q99J23,Ghdc GH3 domain-containing protein,2,TP,35729.0,45493.0,32778.0,34976.0,17794.0,34659.0,37306.0,31986.0,53117.0,49033.0,38049.0,53437.0,33814.0,28915.0,25393.0,28124.0
Q9JJL8,"Sars2 Serine--tRNA ligase, mitochondrial",2,FP,18318.0,15536.0,27581.0,7494.0,11218.0,17493.0,16170.0,12860.0,25814.0,18101.0,11613.0,18800.0,19587.0,21232.0,9274.0,15476.0
Q8CD15,Mina Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA,2,FP,36573.0,28281.0,40089.0,15563.0,20083.0,18517.0,25335.0,26496.0,50652.0,43307.0,19785.0,31428.0,29848.0,29837.0,17675.0,24568.0
Q80X68,Csl Citrate synthase,1,FP,5183.0,5270.0,3679.0,3932.0,2471.0,3784.0,4352.0,4226.0,7498.0,6243.0,3012.0,4941.0,6686.0,4291.0,3820.0,4766.0
A3KMP2,Ttc38 Tetratricopeptide repeat protein 38,2,,150988.0,167264.0,108310.0,120652.0,51329.0,179080.0,97285.0,116923.0,138052.0,106175.0,124828.0,158797.0,240806.0,81848.0,52484.0,95712.0
Q91W34,RUS1 family protein C16orf58 homolog,2,,24840.0,26591.0,34406.0,17529.0,12818.0,20031.0,19571.0,18846.0,33541.0,28373.0,17559.0,23206.0,21870.0,16630.0,14051.0,19781.0
Q8BP71,Rbfox2 RNA binding protein fox-1 homolog 2,1,FP,14111.0,17888.0,21369.0,15421.0,9903.0,14442.0,25430.0,23186.0,31489.0,32418.0,19333.0,24753.0,17776.0,23469.0,16034.0,20303.0
