ID #,Uniprot Accession,Entrez ID,Protein Names,Gene Names,Log2 SILAC Ratio (Mito/Negative Control) Rep1,Rep1 Unique Quantified Peptide Count,Log2 SILAC Ratio (Mito/Negative Control) Rep2,Rep2 Unique Quantified Peptide Count,GOCC annotation,MitoCarta FDR,mito,evidence for mito,matrix,IMS,OMM,False-positive,Note
297,B1ANH1;B1ANG9;B1ANH0;B1ANH2;B1ANH6;Q16774;F5GXL9;B1ANH5;E9PEG7;B1ANH3,2987,Guanylate kinase 1;GMP kinase;Guanylate kinase,GUK1;RP11-520H14.2-010;RP11-520H14.2-027;RP11-520H14.2-003;RP11-520H14.2-018;RP11-520H14.2-023;GMK;RP11-520H14.2-030;RP11-520H14.2-019,1.817974645,9,2.034209144,9,-,0.194,0,-,0,0,0,0,-
1330,Q9P2R7;Q9P2R7-2;F5GXC8;F5H5G8;Q5T9Q5;F5H5Q7,8803,"ATP-specific succinyl-CoA synthetase subunit beta;Renal carcinoma antigen NY-REN-39;Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial;Succinyl-CoA synthetase beta-A chain;Succinate-CoA ligase, ADP-forming, beta subunit",SUCLA2;RP11-528D24.2-010,1.815657409,16,1.887014524,20,mitochondrion,0,1,GOCC; MitoCarta,1,0,0,0,-
5613,Q9Y2Z2-6;Q9Y2Z2-4;Q9Y2Z2;Q9Y2Z2-5;Q9Y2Z2-2,25821,"Protein MTO1 homolog, mitochondrial",CGI-02;MTO1,1.797858192,25,1.630480375,28,mitochondrion,0,1,GOCC; MitoCarta,0,0,0,0,-
165,A6NNL5,145853,Uncharacterized protein C15orf61,C15orf61,1.794906665,5,1.511061813,5,extracellular region,0.15,0,-,0,0,0,0,-
4759,Q9BQ52;E9PGJ0;G5E9D5;B4DPL9;E7ES68;Q9BQ52-3,60528,"ElaC homolog protein 2;Heredity prostate cancer protein 2;Ribonuclease Z 2;tRNA 3 endonuclease 2;tRNase Z 2;Zinc phosphodiesterase ELAC protein 2;cDNA FLJ59369, highly similar to Zinc phosphodiesterase ELAC protein 2 (EC 3.1.26.11)",ELAC2;HPC2,1.778564438,42,1.907270157,44,mitochondrion | nucleus,0.338,1,GOCC; MitoCarta,0,0,0,0,-
3827,G3XAJ0;Q6JQN1;Q6JQN1-2;F8W1I9,80724,Acyl-CoA dehydrogenase family member 10,ACAD10,1.777180346,18,1.819432068,19,-,0.029,1,MitoCarta,0,0,0,0,-
3845,Q6P087;Q6P087-2;C9JM75,285367,RNA pseudouridylate synthase domain-containing protein 3;Putative uncharacterized protein RPUSD3,RPUSD3,1.77401964,17,1.824044713,15,-,0.179,0,-,0,0,0,0,-
4172,Q8N465;F6XUM0;G5E9E8;B4E3L6;Q8N465-2;B5MCV2,728294,"D-2-hydroxyglutarate dehydrogenase, mitochondrial;cDNA FLJ61087, highly similar to D-2-hydroxyglutarate dehydrogenase, mitochondrial (EC 1.1.99.-);Putative uncharacterized protein D2HGDH",D2HGD;D2HGDH,1.77401964,7,1.731442044,8,mitochondrion,-,1,GOCC,1,0,0,0,-
2876,P51553;E9PDD5;G5E9Q7;E7EQB8;E9PCL6;E9PF84,3421,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial;Isocitric dehydrogenase subunit gamma;NAD(+)-specific ICDH subunit gamma",IDH3G,1.762986229,16,1.834315122,15,mitochondrion | nucleolus | nucleus,0,1,GOCC; MitoCarta,1,0,0,0,-
5024,Q9H649,63899,NOL1/NOP2/Sun domain family member 3;Putative methyltransferase NSUN3,MSTP077;NSUN3;UG0651E06,1.757943011,7,1.811932566,12,-,0.932,0,-,0,0,0,0,-
2078,O75879;D6REA0;D6RDU9,5188,"Cytochrome oxidase assembly factor PET112 homolog;Probable glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial",HSPC199;PET112;PET112L,1.751134781,15,1.691572628,14,mitochondrion,0,1,GOCC; MitoCarta,0,0,0,0,-
2555,P25325;E7ERL2;E7ENL2;B1AH49,4357,3-mercaptopyruvate sulfurtransferase;Mercaptopyruvate sulfurtransferase,MPST;TST2;LL22NC01-146D10.4-005,1.747407615,15,1.903262476,17,mitochondrion | cytoplasm,0.029,1,GOCC; MitoCarta,0,0,0,0,-
5138,Q9NPE2,51335,Mesenchymal stem cell protein DSC92;Neugrin;Neurite outgrowth-associated protein;Spinal cord-derived protein FI58G,FI58G;HT020;NGRN,1.744350936,4,2.598594096,3,nucleus,0.874,0,-,0,0,0,1,-
3856,Q6P1S2;Q96NB5,285315,"Uncharacterized protein C3orf33;cDNA FLJ31139 fis, clone IMR322001185;Chromosome 3 open reading frame 33, isoform CRA_b",C3orf33;MSTP052;hCG_27946,1.722828426,4,1.562792838,4,integral to membrane | membrane,0.711,0,-,0,0,0,0,-
2054,O75570;B4DG01,9617,"Peptide chain release factor 1, mitochondrial;cDNA FLJ55831, highly similar to Peptide chain release factor 1, mitochondrial",MTRF1,1.719719168,7,1.438002479,8,mitochondrion | cytoplasm,0,1,GOCC; MitoCarta,0,0,0,0,-
5373,Q9P2J9,57546,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial;Pyruvate dehydrogenase phosphatase catalytic subunit 2",KIAA1348;PDP2,1.719315625,6,1.668552988,9,mitochondrion | protein serine/threonine phosphatase complex | mitochondrial matrix,0.059,1,GOCC; MitoCarta,1,0,0,0,-
3985,Q7Z4W1,51181,Carbonyl reductase II;Dicarbonyl/L-xylulose reductase;Kidney dicarbonyl reductase;L-xylulose reductase;Sperm surface protein P34H,DCXR,1.712669779,11,1.459760996,10,brush border | membrane | microvillus,0.254,0,-,0,0,0,1,-
3596,Q3KQZ1;Q3KQZ1-2;Q3KQZ1-3;Q3KQZ1-4,399512,Solute carrier family 25 member 35,SLC25A35,1.712148376,7,1.776221116,8,mitochondrion | integral to membrane | mitochondrial inner membrane | membrane,0,1,GOCC; MitoCarta,0,0,0,0,-
5009,Q9H4B0;Q9H4B0-2;Q9H4B0-3;E5RGZ1,64172,O-sialoglycoprotein endopeptidase-like protein 1;Probable O-sialoglycoprotein endopeptidase 2,OSGEPL1,1.695539031,5,1.320270658,4,mitochondrion,0.047,1,GOCC; MitoCarta,0,0,0,0,-
2525,P22695,7385,"Complex III subunit 2;Core protein II;Cytochrome b-c1 complex subunit 2, mitochondrial;Ubiquinol-cytochrome-c reductase complex core protein 2",UQCRC2,1.693662125,21,1.605904076,25,mitochondrion | respiratory chain | mitochondrial inner membrane | nucleus | membrane | mitochondrial respiratory chain complex III,0,1,GOCC; MitoCarta,0,0,0,0,-
2315,P08559;A5YVE9;B7Z3T7;B7Z3X5,5160,"PDHE1-A type I;Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial;cDNA FLJ59461, highly similar to Pyruvate dehydrogenase E1 component alpha subunit, somatic form, mitochondrial (EC 1.2.4.1);Mitochondrial PDHA1;cDNA FLJ54787, highly similar to Pyruvate dehydrogenase E1 component alpha subunit, somatic form, mitochondrial (EC 1.2.4.1);cDNA FLJ52314, highly similar to Pyruvate dehydrogenase E1 component alpha subunit, somatic form, mitochondrial (EC 1.2.4.1)",PDHA1;PHE1A,1.690077496,24,1.649044073,30,mitochondrion | mitochondrial matrix,0,1,GOCC; MitoCarta,1,0,0,0,-
1070,E7ETE0;Q9H825;B5ME25;Q9H825-2;C9JE69,79828,Methyltransferase-like protein 8;Putative uncharacterized protein METTL8,METTL8,1.6771342,4,1.504280572,6,nucleus | cytoplasm,0.849,0,-,0,0,0,1,-
2804,P49189;B4DXY7,223,"4-trimethylaminobutyraldehyde dehydrogenase;Aldehyde dehydrogenase E3 isozyme;Aldehyde dehydrogenase family 9 member A1;Gamma-aminobutyraldehyde dehydrogenase;R-aminobutyraldehyde dehydrogenase;cDNA FLJ51658, highly similar to 4-trimethylaminobutyraldehyde dehydrogenase (EC 1.2.1.47);cDNA FLJ61765, highly similar to 4-trimethylaminobutyraldehyde dehydrogenase(EC 1.2.1.47)",ALDH4;ALDH7;ALDH9;ALDH9A1,1.672972462,10,2.046760825,9,microtubule cytoskeleton | cytosol | mitochondrion | nucleus | cytoplasm,0.01,1,GOCC; MitoCarta,0,0,0,1,-
1821,O14874;A8MY43;Q96G95;E9PF13,10295,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial;Branched-chain alpha-ketoacid dehydrogenase kinase;Branched chain ketoacid dehydrogenase kinase, isoform CRA_c;Putative uncharacterized protein BCKDK;BCKDK protein;Branched chain ketoacid dehydrogenase kinase, isoform CRA_a",BCKDK;hCG_21145,1.657890012,11,1.771718071,12,mitochondrion | mitochondrial matrix | mitochondrial alpha-ketoglutarate dehydrogenase complex,0.029,1,GOCC; MitoCarta,1,0,0,0,-
