uniprot_id,description,pep_num,annotation,ctrl_turbo(-)_1,ctrl_turbo(-)_2,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(-)_1,LPS_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4
D3YXF5,C7 Oxidation resistance protein 1,11,TP,124061.0,71862.0,91191.0,264117.0,426369.0,100683.0,140477.0,152147.0,193322.0,144782.0,122715.0,205214.0,144340.0,300104.0,113872.0,223716.0
Q01339,Apoh Beta-2-glycoprotein 1,6,TP,85535.0,37320.0,39242.0,51796.0,159818.0,64364.0,108374.0,55140.0,103997.0,64226.0,156321.0,238136.0,147461.0,231488.0,109347.0,164908.0
P26262,Klkb1 Plasma kallikrein,11,TP,178190.0,149097.0,136343.0,216711.0,391276.0,182571.0,216692.0,235382.0,233723.0,162900.0,282791.0,251378.0,176418.0,315860.0,150001.0,272705.0
Q05020,Apoc2 Apolipoprotein C-II,1,TP,4925.0,1944.0,1952.0,1774.0,5561.0,1088.0,4643.0,1523.0,6528.0,3540.0,17243.0,25315.0,7878.0,21553.0,14421.0,24678.0
Q02105,C1qc Complement C1q subcomponent subunit C,4,TP,49531.0,52016.0,44366.0,80873.0,49417.0,30591.0,43727.0,55530.0,60093.0,29670.0,200182.0,49313.0,103046.0,127960.0,51347.0,81593.0
E9Q6C2,C1s1 Protein C1s1,5,,33384.0,18276.0,129770.0,376291.0,486084.0,12099.0,37462.0,61461.0,88820.0,73782.0,42093.0,55808.0,199905.0,282187.0,112491.0,137727.0
F6TQW2,Ighg2c Protein Ighg2c,3,,74059.0,103906.0,42665.0,46988.0,63828.0,44227.0,92169.0,108726.0,85303.0,67317.0,181031.0,122470.0,36568.0,161164.0,86575.0,136362.0
Q8CF98,Colec10 Collectin-10,3,TP,53747.0,27116.0,65329.0,29751.0,124811.0,45879.0,49236.0,30314.0,92504.0,38889.0,168681.0,27538.0,74401.0,146885.0,54268.0,66788.0
P34928,Apoc1 Apolipoprotein C-I,2,TP,46047.0,19512.0,30990.0,86463.0,326245.0,26052.0,34161.0,33282.0,31257.0,55897.0,98944.0,122590.0,108363.0,109941.0,35856.0,89357.0
P23953,Ces1c Carboxylesterase 1C,5,TP,237799.0,30661.0,57682.0,109263.0,226963.0,59789.0,129388.0,64448.0,179370.0,88763.0,95529.0,270348.0,100594.0,207191.0,148502.0,269444.0
