uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,ctrl_turbo(-)_1,ctrl_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,LPS_turbo(-)_1,LPS_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2
O35309,Nmi N-myc-interactor,1,TP,13713.809131343261,15947.0,13007.52555348514,10136.0,8662.0,12979.986651696981,13525.825621402617,13060.38935698448,13372.722252271744,12098.0,16560.0,10762.0,12604.019713852662,9412.742679717818,7330.0,5216.0
Q91V76,Ester hydrolase C11orf54 homolog,1,FP,46347.42775721096,43372.0,43520.32919180116,28140.0,19616.0,18306.339769398885,18014.99064457235,26574.844360571282,32486.15835496899,20528.0,27360.0,46281.0,58423.29431536168,42880.41225317084,36527.0,17341.0
Q9QZ06,Tollip Toll-interacting protein,1,,5555.404474876336,5371.0,3140.6992167514136,5122.0,1877.0,3222.6835620257643,2134.2119575120314,0.0,3794.7400475984423,0.0,3502.0,3665.0,7329.633761388431,3660.2309509775764,1595.0,1919.0
E9Q557,Dsp Desmoplakin,10,,264955.91862320434,173148.0,292930.3270726084,286592.0,148824.0,558284.3412159022,159959.52933642024,253183.8730582366,157531.53084883888,142736.0,182879.0,219344.0,185088.56682156597,320151.7296604719,241561.0,123739.0
Q6PDQ2,Chd4 Chromodomain-helicase-DNA-binding protein 4,5,FP,116039.64441657365,129195.0,126839.14466727727,57139.0,71532.0,71688.87415120982,93897.31997634794,66582.72505706274,79351.74473532382,128498.0,122636.0,94368.0,111738.47272606139,108789.1473678554,81914.0,36028.0
O88572,Lrp6 Low-density lipoprotein receptor-related protein 6,5,TP,84219.69003697184,120321.0,117681.20324037521,17674.0,20738.0,54005.3818004395,64535.32138403878,56760.29348343551,60059.689744699266,15950.0,24297.0,97816.0,102504.85939472675,110656.44494150323,19271.0,11450.0
Q9Z1Q9,Vars Valine--tRNA ligase,5,,127244.756206161,127759.0,117276.68938192845,76397.0,65339.0,118121.23749186812,146964.39736361653,123734.45444274163,107479.35920597144,125642.0,167055.0,103735.0,91692.30568463831,84715.94452756744,81055.0,64778.0
Q01279,Egfr Epidermal growth factor receptor,3,TP,36888.1275153323,42314.0,35942.59394877302,15454.0,18292.0,28027.17413502097,23877.782978016443,27255.42091593844,21248.964643732874,19180.0,20197.0,25276.0,32992.7280567631,21859.2924871915,14346.0,12188.0
Q59IW6,Abi3bp Target of Nesh-SH3 variant 5,4,,269964.8502313464,274075.0,262512.1465590753,41577.0,53846.0,68543.92655360457,102315.21922998596,79208.88151982523,86635.02102264532,63638.0,87341.0,120553.0,130990.7940505338,119617.33059783073,57649.0,32402.0
Q8CCN5,Bcas3 Breast carcinoma-amplified sequence 3 homolog,3,FP,20533.838868617997,28896.0,23968.82603354073,8912.0,4354.0,18316.896505307843,22512.161821923535,17580.16924155472,30500.693981681812,6551.0,13148.0,15066.0,13419.117993304351,18609.95523112394,5763.0,2766.0
Q69ZQ1,Kiaa1161 Uncharacterized family 31 glucosidase KIAA1161,1,TP,38613.385880000096,65459.0,63517.34956258094,15770.0,19439.0,23818.875320404244,24303.252885944887,25150.017676405376,25841.414214625704,9375.0,15135.0,30236.0,28107.138982994384,29527.627578702373,12984.0,6340.0
Q9D906,Atg7 Ubiquitin-like modifier-activating enzyme ATG7,2,,30247.03137159003,21130.0,22633.062922022553,20530.0,11360.0,23076.06499371933,19237.64476171081,19680.353335724536,16412.281083225156,15922.0,33816.0,19204.0,20347.453368643713,17158.592992814476,18203.0,11890.0
P09405,Ncl Nucleolin,2,FP,87311.13056847539,93252.0,96436.73467454127,41437.0,41186.0,102741.0329757797,98775.35534547377,86948.87409351768,77153.63882878984,65250.0,78963.0,94811.0,75661.62280517662,78244.99903778822,65561.0,73850.0
P35991,Btk Tyrosine-protein kinase BTK,2,FP,40090.797037410084,36011.0,33474.50744401984,16292.0,13428.0,35581.958232777615,34198.8594542161,39934.81266140603,35379.29830160104,20010.0,39261.0,19646.0,23344.064681290492,15133.113950727367,13256.0,7247.0
Q921G6,Lrch4 Leucine-rich repeat and calponin homology domain-containing protein 4,2,,37155.31889486389,33929.0,30310.940972112563,19660.0,15600.0,31327.59366146725,31898.80573151691,32069.5605989957,28905.882482330882,35445.0,40903.0,26784.0,30753.708089741667,28741.761876934288,21030.0,10550.0
Q8C166,Cpne1 Copine-1,2,FP,28313.82315497909,27073.0,26195.623570097592,20471.0,13202.0,24500.264638164306,22414.94423543451,18257.614309703928,18607.956800807733,18186.0,31894.0,21906.0,23482.831412914937,16560.528397002196,22246.0,8479.0
Q9D1G3,Hhatl Protein-cysteine N-palmitoyltransferase HHAT-like protein,2,TP,12406.868492095966,9116.0,8369.415387044815,10423.0,6185.0,86518.20899350347,21991.761800129334,9392.37399569584,12722.646707774413,45943.0,49286.0,7985.0,12411.496500607936,18282.878808335136,4018.0,73925.0
Q8CBE3,Wdr37 WD repeat-containing protein 37,2,FP,89582.86179987749,59607.0,67104.35451789155,78262.0,32376.0,145710.7869382995,120245.57338749726,141198.7586572323,106865.73649574499,84393.0,171636.0,116125.0,62772.568723662946,72331.15481534097,75848.0,39542.0
Q8CHS8,Vps37a Vacuolar protein sorting-associated protein 37A,1,FP,9951.367624092954,9591.0,9212.349723652213,6814.0,5732.0,4869.534363823326,6764.056547012944,4877.813256488849,7626.540476705612,5979.0,9668.0,7789.0,8519.777261446725,10016.479121011984,7032.0,2610.0
P15535,"B4galt1 Beta-1,4-galactosyltransferase 1",1,TP,7921.438546113113,10675.0,6744.263218899031,1663.0,2338.0,2928.0546598393707,3424.346517036989,3783.8803883526807,4205.441980383673,1343.0,3871.0,3285.0,2679.07302586652,2809.4541286945655,2436.0,1576.0
Q8BGU5,Ccny Cyclin-Y,1,,12065.927455770585,9605.0,11171.836932697472,4256.0,5058.0,6132.50385984057,12051.549515704328,5603.274461979914,6926.038511466898,9528.0,9600.0,10118.0,14350.48029114409,10644.793559394326,8984.0,3781.0
O09005,Degs1 Sphingolipid delta(4)-desaturase DES1,1,TP,15926.298835156906,13090.0,10494.493064460095,5598.0,8597.0,6921.379943219123,10270.752078487696,5000.985087061433,5639.8610089427375,13463.0,8410.0,5040.0,8553.53133130132,6486.700616117802,4877.0,1582.0
P04441,Cd74 H-2 class II histocompatibility antigen gamma chain,1,TP,21821.435335591512,20661.0,17338.899090420997,10812.0,10227.0,9835.998757356183,19987.935782143762,19146.956679600888,14462.054449733161,12547.0,23152.0,12605.0,14116.702103632637,12492.554776382318,12664.0,6016.0
P97376,Frg1 Protein FRG1,1,FP,8654.09907098255,14195.0,11678.070650285823,3512.0,6981.0,8570.150151545586,8779.319928114874,11699.236246250164,5853.110089427377,10239.0,12818.0,7555.0,10778.799640233847,5383.841772417602,4941.0,3676.0
E9Q3H6,Coq10a Protein Coq10a,1,,16708.528801477903,10297.0,10473.20286138395,11090.0,7948.0,10007.785641692873,10152.94723838923,13743.053570496937,10498.416270012982,7208.0,10340.0,3606.0,4748.072492879628,4638.939399129811,5047.0,7171.0
G3X972,"Sec24c SEC24 related gene family, member C (S. cerevisiae), isoform CRA_a",2,TP,18638.10998578751,20038.0,18484.627426333576,11688.0,16512.0,12933.920895003343,12313.46513106888,12891.28904721534,11044.60123683831,12574.0,11097.0,10857.0,18721.0072619464,10890.573530276086,8646.0,6590.0
P27870,Vav1 Proto-oncogene vav,4,,110985.97941004849,105056.0,97097.51949594164,62621.0,57550.0,262150.6243108498,168949.29674587605,243141.19355028044,100839.47544353094,135470.0,219651.0,82701.0,88806.95778743816,67179.85870768073,78754.0,52398.0
P12023,App Amyloid beta A4 protein,3,TP,274827.491536668,256215.0,271338.1185231974,16932.0,26830.0,204617.37331028923,231868.51872157375,181699.3266760141,228692.32372349635,25658.0,41822.0,450012.0,372294.8889888239,340536.9725274264,20627.0,23991.0
Q571K4,Tab3 TGF-beta-activated kinase 1 and MAP3K7-binding protein 3,2,,31822.37240113603,37807.0,38683.51046331681,18415.0,23045.0,21859.161254395724,31108.48394017671,30158.309566975353,29730.324084090582,25120.0,29577.0,31902.0,39477.259921051314,29232.06140859072,24856.0,13253.0
Q8BG51,Rhot1 Mitochondrial Rho GTPase 1,1,FP,9306.964885222642,6920.0,7983.0376275147655,4589.0,3729.0,4450.144037258329,4419.397108159962,5539.600888548324,5052.970377181596,4852.0,5404.0,4859.0,5340.643941438065,4693.767238788049,4551.0,2538.0
P06683,C9 Complement component C9,2,TP,40597.372548829706,50512.0,34007.55104696334,22624.0,20696.0,20125.93715879759,26590.72550921609,21306.6390309117,20891.726867878264,22648.0,28241.0,18385.0,27459.560902080313,20096.60895243181,16625.0,12665.0
Q08857,Cd36 Platelet glycoprotein 4,2,,886799.7255899878,698979.0,745626.2806588132,171715.0,222312.0,332906.6668890135,509875.36025452765,291424.5511347333,344480.49895427667,225187.0,168326.0,438992.0,573847.9409950199,541251.6102353808,305442.0,80673.0
P03893,Mtnd2 NADH-ubiquinone oxidoreductase chain 2,1,FP,8773.791136926568,10293.0,8479.809032624831,6476.0,8465.0,4708.304215395593,5023.289880703559,5617.888068997001,4831.215635367085,7406.0,7604.0,5559.0,12697.781019004313,6201.217726862837,4068.0,3193.0
Q9WUK4,Rfc2 Replication factor C subunit 2,1,FP,14198.622448954886,15119.0,12090.469769131163,9309.0,7278.0,21517.50689225124,15119.050303511009,16015.469461653844,10505.706836867157,12152.0,18919.0,10796.0,12487.755695464613,10670.631966589588,10033.0,7329.0
O35459,"Ech1 Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",1,FP,11185.767617313573,8587.0,7819.812737264315,8112.0,5514.0,7405.070388502322,8320.681667148998,10004.057832268163,9663.038817972018,7561.0,11745.0,7805.0,8702.299268808607,7412.471839772427,5598.0,7906.0
