,User Input,Mapped Gene Symbol,Num of Expt. (found/total),Ave SC,Max SC,found,contaminant,Key
11117,P60896,SEM1,1 / 716,1.0,1.0,1,False,P60896
11118,Q9BVA6,FICD, / 716,0.0,,,False,Q9BVA6
11119,Q9BUP0,EFHD1,119 / 716,3.3,23.0,119,False,Q9BUP0
11120,P81172,HAMP, / 716,0.0,,,False,P81172
11121,O95071,UBR5,44 / 716,2.4,24.0,44,False,O95071
11122,Q9UKS6,PACSIN3,7 / 716,3.0,11.0,7,False,Q9UKS6
11123,P13164,IFITM1,2 / 716,1.0,1.0,2,False,P13164
11124,Q13491,GPM6B, / 716,0.0,,,False,Q13491
11125,Q13231,CHIT1, / 716,0.0,,,False,Q13231
11126,Q9UBX3,SLC25A10,85 / 716,2.2,16.0,85,False,Q9UBX3
11127,Q96JQ5,MS4A4A, / 716,0.0,,,False,"Q96JQ5, Q96PG1"
11128,P12931,SRC,31 / 716,2.1,9.0,31,False,P12931
11129,Q17RB0,RTL8B,4 / 716,1.0,1.0,4,False,"Q9BWD3, Q17RB0, A6ZKI3"
11130,O95081,AGFG2, / 716,0.0,,,False,O95081
11131,Q9UGM6,WARS2,2 / 716,1.0,1.0,2,False,Q9UGM6
11132,P18827,SDC1,2 / 716,1.5,2.0,2,False,P18827
11133,Q5U5Q3,MEX3C, / 716,0.0,,,False,Q5U5Q3
11134,Q49AN0,CRY2, / 716,0.0,,,False,Q49AN0
11135,Q8NHH1,TTLL11,3 / 716,1.0,1.0,3,False,Q8NHH1
11136,Q96SI9,STRBP,186 / 716,2.4,15.0,186,False,Q96SI9
11137,Q14004,CDK13,193 / 716,3.1,25.0,193,False,Q14004
11138,P60953,CDC42,165 / 716,3.5,25.0,165,False,P60953
11139,Q13077,TRAF1,4 / 716,5.3,11.0,4,False,Q13077
11140,Q86XN6,ZNF761,22 / 716,1.7,3.0,22,False,Q86XN6
11141,P07199,CENPB,9 / 716,3.8,8.0,9,False,P07199
11142,Q96SF2,CCT8L2,1 / 716,1.0,1.0,1,False,"A6NM43, Q96SF2"
11143,Q9H2F5,EPC1,3 / 716,1.3,2.0,3,False,Q9H2F5
11144,Q5T5A4,C1ORF194,1 / 716,1.0,1.0,1,False,Q5T5A4
11145,Q8IXT1,DDIAS, / 716,0.0,,,False,Q8IXT1
11146,Q8NAX2,KDF1, / 716,0.0,,,False,Q8NAX2
11147,Q9NP92,MRPS30,21 / 716,1.3,3.0,21,False,Q9NP92
11148,P59025,RTP1, / 716,0.0,,,False,P59025
11149,P25024,CXCR1, / 716,0.0,,,False,P25024
11150,P05111,INHA,1 / 716,9.0,9.0,1,False,P05111
11151,Q13207,TBX2, / 716,0.0,,,False,Q13207
11152,Q9NXA8,SIRT5, / 716,0.0,,,False,Q9NXA8
11153,A6NJI1,C11ORF86, / 716,0.0,,,False,A6NJI1
11154,O76094,SRP72,168 / 716,4.0,19.0,168,False,O76094
11155,Q92753,RORB,1 / 716,1.0,1.0,1,False,Q92753
11156,Q9NVE4,CCDC87, / 716,0.0,,,False,Q9NVE4
11157,Q7Z3G6,PRICKLE2, / 716,0.0,,,False,Q7Z3G6
11158,Q8TDH9,BLOC1S5, / 716,0.0,,,False,Q8TDH9
11159,Q502X0,MORN2, / 716,0.0,,,False,Q502X0
11160,Q8NFZ5,TNIP2, / 716,0.0,,,False,Q8NFZ5
11161,A6NIJ5,FAM90A20P,1 / 716,2.0,2.0,1,False,"Q96LI9, Q86YD7, A6NDY2, A8MX19, P0C7W8, P0C7W9, P0C7V4, P0DV73, P0DV74, P0DV75, P0DV76, A6NIJ5, A8MWA6, A8MXZ1, P0C7X0, Q658T7, D6RGX4, A8MXJ8, A6NKC0, A6NJQ4, A6NNJ1"
11162,Q96DN0,ERP27, / 716,0.0,,,False,Q96DN0
11163,A6NED2,RCCD1,3 / 716,1.3,2.0,3,False,A6NED2
11164,Q6JEL2,KLHL10, / 716,0.0,,,False,Q6JEL2
